2014-05-19-06:53:19,71 0.0000
2014-05-19-06:53:24,72 0.0000
2014-05-19-06:53:29,72 0.0000
2014-05-19-06:53:34,73 0.0000
2014-05-19-06:53:39,73 0.0000
2014-05-19-06:53:44,73 0.0000
2014-05-19-06:53:49,74 0.0000
2014-05-19-06:53:54,74 0.0000
2014-05-19-06:53:59,75 0.0000
2014-05-19-06:54:04,75 0.0000
2014-05-19-06:54:09,76 0.0000
2014-05-19-06:54:14,77 0.0000
2014-05-19-06:54:19,77 0.0000
2014-05-19-06:54:24,77 0.0000
2014-05-19-06:54:29,78 0.0000
2014-05-19-06:54:34,78 0.0000
2014-05-19-06:54:39,79 0.0000
2014-05-19-06:54:44,79 0.0000
2014-05-19-06:54:49,79 0.0000
2014-05-19-06:54:54,80 0.0000
2014-05-19-06:54:59,80 0.0000
2014-05-19-06:55:04,81 0.0000
2014-05-19-06:55:09,81 0.0000
2014-05-19-06:55:14,81 0.0000
2014-05-19-06:55:19,82 0.0000
2014-05-19-06:55:24,82 0.0000
2014-05-19-06:55:29,82 0.0000
2014-05-19-06:55:34,83 0.0000
2014-05-19-06:55:39,83 0.0000
2014-05-19-06:55:44,84 0.0000
2014-05-19-06:55:49,84 0.0000
2014-05-19-06:55:54,84 0.0000
2014-05-19-06:55:59,85 0.0000
2014-05-19-06:56:04,85 0.0000
2014-05-19-06:56:09,86 0.0000
2014-05-19-06:56:14,86 0.0000
2014-05-19-06:56:19,86 0.0000
2014-05-19-06:56:24,87 0.0000
2014-05-19-06:56:29,87 0.0000
2014-05-19-06:56:34,88 0.0000
2014-05-19-06:56:39,88 0.0000
2014-05-19-06:56:44,88 0.0000
2014-05-19-06:56:49,89 0.0000
2014-05-19-06:56:54,89 0.0000
2014-05-19-06:56:59,90 0.0000
2014-05-19-06:57:04,90 0.0000
2014-05-19-06:57:09,90 0.0000
2014-05-19-06:57:14,91 0.0000
2014-05-19-06:57:19,91 0.0000
2014-05-19-06:57:24,91 0.0000
2014-05-19-06:57:29,92 0.0000
2014-05-19-06:57:34,92 0.0000
2014-05-19-06:57:39,93 0.0000
2014-05-19-06:57:44,93 0.0000
2014-05-19-06:57:49,93 0.0000
2014-05-19-06:57:54,94 0.0000
2014-05-19-06:57:59,94 0.0000
2014-05-19-06:58:04,95 0.0000
2014-05-19-06:58:09,95 0.0000
2014-05-19-06:58:14,95 0.0000
2014-05-19-06:58:19,96 0.0000
2014-05-19-06:58:24,96 0.0000
2014-05-19-06:58:29,97 0.0000
2014-05-19-06:58:34,97 0.0000
2014-05-19-06:58:39,97 0.0000
2014-05-19-06:58:44,98 0.0000
2014-05-19-06:58:49,98 0.0000
2014-05-19-06:58:54,98 0.0000
2014-05-19-06:58:59,99 0.0000
2014-05-19-06:59:04,99 0.0000
2014-05-19-06:59:10,00 0.0000
2014-05-19-06:59:15,00 0.0000
2014-05-19-06:59:20,00 0.0000
2014-05-19-06:59:25,01 0.0000
2014-05-19-06:59:30,01 0.0000
2014-05-19-06:59:35,02 0.0000
2014-05-19-06:59:40,02 0.0000
2014-05-19-06:59:45,02 0.0000
2014-05-19-06:59:50,03 0.0000
2014-05-19-06:59:55,03 0.0000
2014-05-19-07:00:00,04 0.0000
2014-05-19-07:00:05,04 0.0000
2014-05-19-07:00:10,04 0.0000
2014-05-19-07:00:15,05 0.0000
2014-05-19-07:00:20,05 0.0000
2014-05-19-07:00:25,06 0.0000
2014-05-19-07:00:30,06 0.0000
2014-05-19-07:00:35,06 0.0000
2014-05-19-07:00:40,07 0.0000
2014-05-19-07:00:45,07 0.0000
2014-05-19-07:00:50,07 0.0000
2014-05-19-07:00:55,08 0.0000
2014-05-19-07:01:00,08 0.0000
2014-05-19-07:01:05,09 0.0000
2014-05-19-07:01:10,09 0.0000
2014-05-19-07:01:15,09 0.0000
2014-05-19-07:01:20,10 0.0000
2014-05-19-07:01:25,10 0.0000
2014-05-19-07:01:30,11 0.0000
2014-05-19-07:01:35,11 0.0000
2014-05-19-07:01:40,11 0.0000
2014-05-19-07:01:45,12 0.0000
2014-05-19-07:01:50,12 0.0000
2014-05-19-07:01:55,13 0.0000
2014-05-19-07:02:00,13 0.0000
2014-05-19-07:02:05,13 0.0000
2014-05-19-07:02:10,14 0.0000
2014-05-19-07:02:15,14 0.0000
2014-05-19-07:02:20,15 0.0000
2014-05-19-07:02:25,15 0.0000
2014-05-19-07:02:30,15 0.0000
2014-05-19-07:02:35,16 0.0000
2014-05-19-07:02:40,16 0.0000
2014-05-19-07:02:45,16 0.0000
2014-05-19-07:02:50,17 0.0000
2014-05-19-07:02:55,17 0.0000
2014-05-19-07:03:00,18 0.0000
2014-05-19-07:03:05,18 0.0000
2014-05-19-07:03:10,18 0.0000
2014-05-19-07:03:15,19 0.0000
2014-05-19-07:03:20,19 0.0000
2014-05-19-07:03:25,20 0.0000
2014-05-19-07:03:30,20 0.0000
2014-05-19-07:03:35,20 0.0000
2014-05-19-07:03:40,21 0.0000
2014-05-19-07:03:45,21 0.0000
2014-05-19-07:03:50,22 0.0000
2014-05-19-07:03:55,22 0.0000
2014-05-19-07:04:00,22 0.0000
2014-05-19-07:04:05,23 0.0000
2014-05-19-07:04:10,23 0.0000
2014-05-19-07:04:15,24 0.0000
2014-05-19-07:04:20,24 0.0000
2014-05-19-07:04:25,24 0.0000
2014-05-19-07:04:30,25 0.0000
2014-05-19-07:04:35,25 0.0000
2014-05-19-07:04:40,25 0.0000
2014-05-19-07:04:45,26 0.0000
2014-05-19-07:04:50,26 0.0000
2014-05-19-07:04:55,27 0.0000
2014-05-19-07:05:00,27 0.0000
2014-05-19-07:05:05,27 0.0000
2014-05-19-07:05:10,28 0.0000
2014-05-19-07:05:15,28 0.0000
2014-05-19-07:05:20,29 0.0000
2014-05-19-07:05:25,29 0.0000
2014-05-19-07:05:30,29 0.0000
2014-05-19-07:05:35,30 0.0000
2014-05-19-07:05:40,30 0.0000
2014-05-19-07:05:45,31 0.0000
2014-05-19-07:05:50,31 0.0000
2014-05-19-07:05:55,31 0.0000
2014-05-19-07:06:00,32 0.0000
2014-05-19-07:06:05,32 0.0000
2014-05-19-07:06:10,33 0.0000
2014-05-19-07:06:15,33 0.0000
2014-05-19-07:06:20,33 0.0000
2014-05-19-07:06:25,34 0.0000
2014-05-19-07:06:30,34 0.0000
2014-05-19-07:06:35,34 0.0000
2014-05-19-07:06:40,35 0.0000
2014-05-19-07:06:45,35 0.0000
2014-05-19-07:06:50,36 0.0000
2014-05-19-07:06:55,36 0.0000
2014-05-19-07:07:00,36 0.0000
2014-05-19-07:07:05,37 0.0000
2014-05-19-07:07:10,37 0.0000
2014-05-19-07:07:15,38 0.0000
2014-05-19-07:07:20,38 0.0000
2014-05-19-07:07:25,38 0.0000
2014-05-19-07:07:30,39 0.0000
2014-05-19-07:07:35,39 0.0000
2014-05-19-07:07:40,40 0.0000
2014-05-19-07:07:45,40 0.0000
2014-05-19-07:07:50,40 0.0000
2014-05-19-07:07:55,41 0.0000
2014-05-19-07:08:00,41 0.0000
2014-05-19-07:08:05,42 0.0000
2014-05-19-07:08:10,42 0.0000
2014-05-19-07:08:15,42 0.0000
2014-05-19-07:08:20,43 0.0000
2014-05-19-07:08:25,43 0.0000
2014-05-19-07:08:30,43 0.0000
2014-05-19-07:08:35,44 0.0000
2014-05-19-07:08:40,44 0.0000
2014-05-19-07:08:45,45 0.0000
